antecedent;consequent;support;confidence
tour needed great;us;7.355856383761262e-05;0.6210526315789474
us tour one;great;0.00041766303195932584;0.4219143576826197
us tour great;one;0.00041766303195932584;0.324298160696999
tour one great;us;0.00041766303195932584;0.40458937198067635
us needed one;great;0.0014063400001496106;0.35009310986964615
us needed great;one;0.0014063400001496106;0.4458498023715415
needed one great;us;0.0014063400001496106;0.346970163026761
fun well maybe;one;0.0003428577128024317;0.625
fun maybe one;well;0.0003428577128024317;0.37774725274725274
fun well maybe;good;0.0003316369149288975;0.6045454545454545
fun maybe good;well;0.0003316369149288975;0.33928571428571425
fun well;good one;0.001527275266119923;0.20495231721599466
fun well one;good;0.001527275266119923;0.5125523012552301
fun well good;one;0.001527275266119923;0.45606850335070737
fun one good;well;0.001527275266119923;0.3271028037383178
fun maybe;good one;0.0005074294149475988;0.27462887989203777
fun maybe one;good;0.0005074294149475988;0.559065934065934
fun maybe good;one;0.0005074294149475988;0.5191326530612244
take order long;never;0.0010584952660700527;0.29799929799929803
take order never;long;0.0010584952660700527;0.21537290715372906
take long never;order;0.0010584952660700527;0.35169842584921296
order long never;take;0.0010584952660700527;0.33919296843787455
tour needed one;great;5.7350744686952204e-05;0.37398373983739835
tour needed great;one;5.7350744686952204e-05;0.4842105263157895
experience order usually;food;0.0006931959575205527;0.6311010215664018
experience food usually;order;0.0006931959575205527;0.3377885783718105
experience order;good food;0.004983281011168434;0.31209494807527133
experience order food;good;0.004983281011168434;0.5241967213114754
experience order good;food;0.004983281011168434;0.6657228514323784
experience food good;order;0.004983281011168434;0.2585214410452105
experience order usually;good;0.0006420789894300084;0.5845629965947787
experience usually good;order;0.0006420789894300084;0.2890011223344557
experience usually;good food;0.0012193267022573753;0.27791986359761295
experience food usually;good;0.0012193267022573753;0.5941676792223574
experience usually good;food;0.0012193267022573753;0.5488215488215489
